,id,ein,name,careofname,address,city,state,zipcode,exemption_number,subsection_code,affiliation_code,classification_codes,ruling_date,deductibility_code,foundation_code,activity_codes,organization_code,exempt_organization_status_code,tax_period,asset_code,income_code,filing_requirement_code,pf_filing_requirement_code,accounting_period,asset_amount,income_amount,revenue_amount,ntee_code,sort_name,created_at,updated_at,data_source,have_extracts,have_pdfs
0,262422732,262422732,VILLAGE CHURCH BALTIMORE,,PO BOX 4822,BALTIMORE,MD,21211-0822,1601,3,9,7000,1963-10-01,1,10,029002000,5,1,,0,0,6,0,12,,,,,,2023-01-17T16:19:07.646Z,2023-01-17T16:19:07.646Z,,,
0,862323869,862323869,ACT NOW BALTIMORE,,1735 LANCASTER ST STE 200,BALTIMORE,MD,21231-3764,0,3,3,1000,2022-07-01,1,15,000000000,1,1,,0,0,1,0,12,,,,S21,,2023-01-17T16:27:44.832Z,2023-01-17T16:27:44.832Z,,,
0,202620970,202620970,BALTIMORE ACADEMIES INC,%,540 N CAROLINE ST,BALTIMORE,MD,21205-1808,0,3,3,2000,2006-05-01,1,15,000000000,1,1,2020-06-01,3,3,2,0,6,33722,34192,34192,B112,NAF HIGH SCHOOL,2023-01-17T16:17:08.804Z,2023-01-17T16:17:08.804Z,,,
0,871953122,871953122,BALTIMORE BEAT INC,% BRANDON SODERBERG,2209 MARYLAND AVE,BALTIMORE,MD,21218-5627,0,3,3,2000,2022-02-01,1,15,000000000,1,1,2021-12-01,4,4,1,0,12,224056,400112,400112,A30,BALTIMORE BEAT,2023-01-17T16:27:52.704Z,2023-01-17T16:27:52.704Z,,,
0,208139136,208139136,BALTIMORE CARES INCORPORATED,% MICHAEL K DOUGLAS,1303 KENT AVE,BALTIMORE,MD,21207-4828,0,3,3,1000,2007-06-01,1,15,000000000,1,1,2022-06-01,4,5,1,0,6,200884,527720,527720,B90,,2023-01-17T16:17:23.569Z,2023-01-17T16:17:23.569Z,,,
0,364913965,364913965,BALTIMORE CORPS INC,% FAGAN HARRIS,2401 LIBERTY HEIGHTS AVE,BALTIMORE,MD,21215-8019,0,3,3,1200,2018-06-01,1,15,000000000,1,1,2021-06-01,7,7,1,0,6,6760728,7964333,7964333,J22,,2023-01-17T16:21:05.041Z,2023-01-17T16:21:05.041Z,,,
0,208935495,208935495,BALTIMORE DOWNTOWN RESTORATIONCOMMITTEE,% STEVEN COTHREL,PO BOX 74,BALTIMORE,OH,43105-0074,0,3,3,1000,2013-09-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,S31,,2023-01-17T16:17:27.403Z,2023-01-17T16:17:27.403Z,,,
0,271043530,271043530,BALTIMORE HONEY INC,% MILDRED A THOMAS,2054 DRUID PARK DR,BALTIMORE,MD,21211-1409,0,3,3,2000,2011-03-01,1,15,000000000,1,1,2018-12-01,0,0,2,0,12,0,0,0,D20,,2022-07-18T15:42:27.861Z,2022-07-18T15:42:27.861Z,pre_2022_08_11,,
0,161623376,161623376,BALTIMORE LIGHTHOUSE COMMUNITY,% DUANE DICKENS,101 DORIS AVE,BALTIMORE,MD,21225-0000,1588,3,9,7000,1963-07-01,1,10,001000000,5,1,,0,0,6,0,12,,,,,,2023-01-17T16:16:57.190Z,2023-01-17T16:16:57.190Z,,,
0,311080125,311080125,BALTIMORE LIONS CLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-12T19:50:14.213Z,2022-09-12T19:50:14.213Z,irs_backfill,,
0,205520487,205520487,BALTIMORE MONTESSORI INC,% SAMUEL D HANDWERGER CPA,1600 GUILFORD AVE,BALTIMORE,MD,21202-2823,0,3,3,2000,2007-12-01,1,15,000000000,1,1,2021-06-01,7,7,1,0,6,5470533,5839216,5839216,B90,,2023-01-17T16:17:19.937Z,2023-01-17T16:17:19.937Z,,,
0,471525006,471525006,BALTIMORE MUSICALES INC,,6303 BROAD BRANCH RD,CHEVY CHASE,MD,20815-3343,0,3,3,1200,2014-11-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,A60,,2023-01-17T16:23:41.548Z,2023-01-17T16:23:41.548Z,,,
0,352306851,352306851,BALTIMORE PRAYER CONGREGATION,% TIMOTHY PRIDGEN,8145 LOCH RAVEN BLVD,BALTIMORE,MD,21286-8306,0,3,3,7100,2009-06-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X80,,2023-01-17T16:20:42.161Z,2023-01-17T16:20:42.161Z,,,
0,521319713,521319713,BALTIMORE THEATRE PROJECT,,45 W PRESTON ST,BALTIMORE,MD,21201-5717,0,3,3,1000,1980-04-01,1,15,000000000,1,1,2022-06-01,4,4,1,0,6,252603,258277,258277,A65Z,,2023-01-17T16:24:21.680Z,2023-01-17T16:24:21.680Z,,,
0,900651150,900651150,BEAUTIFUL BALTIMORE BLESSINGS,% KAREN DAVIS,900 HYDE PARK RD,ESSEX,MD,21221-6023,0,3,3,1000,2011-06-01,1,16,000000000,5,1,2020-12-01,0,0,2,0,12,0,0,0,P29,,2023-01-17T16:28:09.492Z,2023-01-17T16:28:09.492Z,,,
0,473486382,473486382,CITYBEAT BALTIMORE INC,% JARED MICHAEL,535 S SMALLWOOD ST,BALTIMORE,MD,21223-2947,0,3,3,1700,2016-03-01,1,10,000000000,1,1,,0,0,6,0,6,,,,X21,,2023-01-17T16:23:52.514Z,2023-01-17T16:23:52.514Z,,,
0,853187740,853187740,EMERGENCE BALTIMORE INC,,1 S WOLFE ST APT 203,BALTIMORE,MD,21231-2082,0,3,3,2000,2020-12-01,1,16,000000000,1,1,,0,0,2,0,12,,,,S31,,2023-01-17T16:27:36.776Z,2023-01-17T16:27:36.776Z,,,
0,883244438,883244438,FOREVER BALTIMORE INC,,4605 MARX AVE,BALTIMORE,MD,21206-5722,0,3,3,2000,2022-09-01,1,15,000000000,1,1,,0,0,2,0,12,,,,S20,,2023-01-17T16:28:05.441Z,2023-01-17T16:28:05.441Z,,,
0,464842360,464842360,GATHER BALTIMORE INC,% ARTHUR MORGAN,1630 ALLENS LN,WILMINGTON,NC,28403-3672,0,3,3,1000,2016-01-01,1,15,000000000,1,1,2019-12-01,0,0,2,0,12,0,0,0,K31,GATHER BALTIMORE,2021-03-17T20:00:44.047Z,2021-03-17T20:00:44.047Z,pre_2021_04_17,,
0,473217317,473217317,GREENING BALTIMORE INC,,2701 SAINT LO DRIVE,BALTIMORE,MD,21213,,,,,,,,,,,,,,,,,,,,,,2023-01-30T20:03:54.542Z,2023-01-30T20:03:54.542Z,xml_backfill,,
0,522342513,522342513,KIPP BALTIMORE INC,% JASON BOTEL,2000 EDGEWOOD ST,BALTIMORE,MD,21216-2537,0,3,3,2000,2002-11-01,1,11,000000000,1,1,2021-06-01,7,8,1,0,6,6792593,21401814,20962417,B29,,2023-01-17T16:24:34.767Z,2023-01-17T16:24:34.767Z,,,
0,262587410,262587410,MECUDA BALTIMORE INC,% BEATRICE MUMA,1 HOLLY CT,OWINGS MILLS,MD,21117-1427,0,3,3,1000,2019-04-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,P84,,2023-01-17T16:19:08.663Z,2023-01-17T16:19:08.663Z,,,
0,873587967,873587967,QSS BALTIMORE INC,,3901 PARK HEIGHTS AVE,BALTIMORE,MD,21215-7013,0,3,3,1000,2022-02-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,P20,,2023-01-17T16:27:57.256Z,2023-01-17T16:27:57.256Z,,,
0,475667732,475667732,YWAM BALTIMORE INC,,3017 CHESLEY AVE,PARKVILLE,MD,21234-7811,0,3,3,7000,2017-03-01,1,15,000000000,1,1,2021-12-01,3,4,1,0,12,55223,117386,117386,X20,,2023-01-17T16:24:03.571Z,2023-01-17T16:24:03.571Z,,,
0,900417081,900417081,1 BALTIMORE INC,,215 RODGERS FORGE RD APT B,BALTIMORE,MD,21212-1318,0,3,3,1000,2009-04-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,P20,,2023-01-17T16:28:08.457Z,2023-01-17T16:28:08.457Z,,,
0,831387337,831387337,A STRONGER BALTIMORE,% JOHN A CRAWLEY,112 N DALLAS ST,BALTIMORE,MD,21231-1041,0,3,3,1000,2018-12-01,1,16,000000000,1,1,2020-12-01,1,1,2,0,12,5404,5500,5500,S31,,2023-01-17T16:26:53.878Z,2023-01-17T16:26:53.878Z,,,
0,208527876,208527876,AFYA BALTIMORE INCORPORATED,% WILLIAM J MCKENNA,5504 YORK RD,BALTIMORE,MD,21212-3805,0,3,3,2000,2008-03-01,1,11,000000000,1,1,2021-06-01,8,7,1,0,6,13641473,5379640,5379640,B24,,2023-01-17T16:17:25.498Z,2023-01-17T16:17:25.498Z,,,
0,823221170,823221170,AKELA BALTIMORE INC,,3536 GREENMOUNT AVE,BALTIMORE,MD,21218-2508,0,3,3,2000,2017-12-01,1,16,000000000,1,1,2018-12-01,0,0,2,0,12,0,0,0,S20,,2022-07-18T15:47:58.393Z,2022-07-18T15:47:58.393Z,pre_2022_08_11,,
0,464699877,464699877,BALTIMORE ABORTION FUND,% DIANA PHILIP,1323 N CALVERT ST STE A,BALTIMORE,MD,21202-3974,0,3,3,1000,2014-08-01,1,15,000000000,1,1,2021-12-01,5,5,1,0,12,688911,611359,611359,E12,,2023-01-17T16:23:25.974Z,2023-01-17T16:23:25.974Z,,,
0,522229194,522229194,BALTIMORE ALKIDO INC,,1750 UNION AVE STE C,BALTIMORE,MD,21211-1407,0,3,3,1000,2014-07-01,1,3,000000000,1,1,2021-12-01,2,3,0,1,12,19328,40864,,N99,,2023-01-17T16:24:33.469Z,2023-01-17T16:24:33.469Z,,,
0,264255486,264255486,BALTIMORE ANNEX THEATRE,% FREDERICK GERRIETS,219 PARK AVE,BALTIMORE,MD,21201-3513,0,3,3,2100,2010-05-01,1,15,000000000,1,1,2017-03-01,0,0,2,0,3,0,0,0,A65,,2020-09-16T02:14:14.705Z,2020-09-16T02:14:14.705Z,pre_2020_11_18,,
0,822869814,822869814,BALTIMORE BOOMERS INCORPORATED,,1221 STELLA DR,GWYNN OAK,MD,21207-4967,0,3,3,2000,2019-04-01,1,4,000000000,1,1,,0,0,0,1,12,,,,B90,BALTIMORE BOOMERS,2020-08-20T23:26:28.255Z,2020-08-20T23:26:28.255Z,pre_2020_09_15,,
0,371979746,371979746,BALTIMORE CAUSE INC,% CHRISTINA RAMSEY,PO BOX 13435,BALTIMORE,MD,21203-3435,0,3,3,1000,2021-02-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,R12,,2023-01-17T16:21:20.743Z,2023-01-17T16:21:20.743Z,,,
0,831343226,831343226,BALTIMORE CITY GATORS,,1003 KENT AVE,CATONSVILLE,MD,21228-1214,0,3,3,1000,2020-01-01,1,16,000000000,1,1,2019-08-01,0,0,2,0,8,0,0,0,N99,,2023-01-17T16:26:53.667Z,2023-01-17T16:26:53.667Z,,,
0,454445468,454445468,BALTIMORE DOCKERS AFC,% ANDREW PIKE,223 S BOULDIN ST,BALTIMORE,MD,21224-2316,0,3,3,1200,2014-10-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,N70,,2023-01-17T16:22:59.579Z,2023-01-17T16:22:59.579Z,,,
0,205060077,205060077,BALTIMORE EDUCATIONAL ENRICHMENTINC,% YUSEF SHABAZZ,2841 CHESTERFIELD AVE,BALTIMORE,MD,21213-1201,0,3,3,2000,2006-10-01,1,15,000000000,1,1,2021-06-01,0,0,2,0,6,0,0,0,O50,,2023-01-17T16:17:17.948Z,2023-01-17T16:17:17.948Z,,,
0,822350770,822350770,BALTIMORE HOMECOMING INC,% CONTINENTAL REALTY CORPORATION,1427 CLARKVIEW RD STE 500,BALTIMORE,MD,21209-0016,0,3,3,1000,2017-10-01,1,15,000000000,1,1,2021-12-01,4,5,1,0,12,202958,592692,592692,S30,,2023-01-17T16:26:36.685Z,2023-01-17T16:26:36.685Z,,,
0,520785878,520785878,BALTIMORE KICKERS INCORPORATED,,4810 GUNTHER AVE,BALTIMORE,MD,21206-6741,0,4,3,1000,1982-08-01,2,0,298319317,1,1,2021-12-01,5,3,2,0,12,826780,47644,33802,,,2023-01-17T16:24:15.369Z,2023-01-17T16:24:15.369Z,,,
0,833729738,833729738,BALTIMORE SAFE HAVEN,% IYA DAMMONS,416 N MONTFORD AVE,BALTIMORE,MD,21224-1017,0,3,3,1200,2019-04-01,1,15,000000000,1,1,2020-12-01,4,5,1,0,12,335131,599645,599645,P20,,2023-01-17T16:27:05.049Z,2023-01-17T16:27:05.049Z,,,
0,471551141,471551141,BALTIMORE STEAM INC,% JOSEPH L MORALES,1001 W PRATT ST,BALTIMORE,MD,21223-2679,0,3,3,2000,2015-07-01,1,16,000000000,1,1,2020-12-01,0,0,2,0,12,0,0,0,B80,,2023-01-17T16:23:41.834Z,2023-01-17T16:23:41.834Z,,,
0,824025419,824025419,BRO CODE BALTIMORE,% JAMAIS E BURTS,231 S LOUDON AVE,BALTIMORE,MD,21229-3629,0,3,3,1200,2018-06-01,1,16,000000000,1,1,2019-12-01,0,0,2,0,12,0,0,0,O50,,2023-01-17T16:26:44.352Z,2023-01-17T16:26:44.352Z,,,
0,811143855,811143855,CARPENTERS HOUSE BALTIMORE,% MELVIN M EASLEY JR,6520 FALKIRK RD APT F,IDLEWYLDE,MD,21239-2081,0,3,3,7000,2017-05-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X20,,2023-01-17T16:26:08.996Z,2023-01-17T16:26:08.996Z,,,
0,611704324,611704324,CHRIST EMBASSY BALTIMORE,% OLUBUNMI SUMBY,3514 GOUGH ST,BALTIMORE,MD,21224-2309,0,3,3,7000,2018-01-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X20,,2023-01-17T16:25:50.716Z,2023-01-17T16:25:50.716Z,,,
0,520897806,520897806,STRONG CITY BALTIMORE,,2101 E BIDDLE ST,BALTIMORE,MD,21213-3307,0,3,3,1200,1970-03-01,1,15,161180402,1,1,2019-06-01,6,8,1,0,6,3607626,15043794,14803870,S20Z,,2023-01-17T16:24:16.605Z,2023-01-17T16:24:16.605Z,,,
0,814999026,814999026,SYNERGY BALTIMORE INC,,4602 DENVIEW WAY,BALTIMORE,MD,21206-3576,0,3,3,1000,2017-02-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,R11,,2023-01-17T16:26:27.143Z,2023-01-17T16:26:27.143Z,,,
0,811457125,811457125,TOUCHPOINT BALTIMORE INC,% TIMOTHY J REGAN,300 E JOPPA ROAD 8TH FLOOR,TOWSON,MD,21286-3020,0,3,3,1000,2016-08-01,1,4,000000000,1,1,2021-12-01,5,4,0,1,12,753489,100000,,T19,,2023-01-17T16:26:10.759Z,2023-01-17T16:26:10.759Z,,,
0,881443475,881443475,UPSURGE BALTIMORE COMMUNITY,% HILARY ROXE,901 S BOND ST STE 400,BALTIMORE,MD,21231-3340,0,3,3,1200,2022-06-01,1,15,000000000,1,1,,0,0,1,0,12,,,,S20,,2023-01-17T16:28:02.126Z,2023-01-17T16:28:02.126Z,,,
0,521275445,521275445,VISIT BALTIMORE INC,,400 E PRATT STREET 10TH FLOOR,BALTIMORE,MD,21202-3116,0,6,3,2000,1983-02-01,2,0,200213000,1,1,2021-06-01,7,8,1,0,6,9955180,24324817,24324817,,,2023-01-17T16:24:20.683Z,2023-01-17T16:24:20.683Z,,,
0,261846234,261846234,BALTIMORE ADVENTIST ACADEMY,,3006 W COLD SPRING LN,BALTIMORE,MD,21215-6606,1071,3,9,7000,1947-04-01,1,10,211029000,5,1,,0,0,6,0,12,,,,,,2023-01-17T16:19:05.213Z,2023-01-17T16:19:05.213Z,,,
